0														s12	s13	s14						s15			s16	s17	s18				1		2		3		4	5	6	7		8		9		10	11
1						r11																							r11	r11																	
2						s19																							r2	r2																	
3						r7																							r7	r7																	
4								s20																																							
5						r10																							r10	r10																	
6																														r1																	
7																														acc																	
8								s21																																							
9						r12																							r12	r12																	
10						r40																							r40	r40																	
11						r13																							r13	r13																	
12	s22																																														
13						r9																							r9	r9																	
14	s23																																														
15	s24																																														
16		r18	r18			r15	r19	r18	r19																				r15	r15																	
17	s25																																														
18	s26																																														
19														s12	s13	s14					s30	s15			s16	s17	s18				1			27	28		4	5			29	8		9		10	11
20											s34	s35						s36					s37		s38											31	32								33		
21																							s40		s41																	39					
22	s42									s44			s45						s46	s47												43															
23																									s51												48					49	50				
24																									s38												52										
25	s42									s44			s45						s46	s47												53															
26																									s51												48					49	54				
27																													r3	r3																	
28						r8																							r8	r8																	
29																					s30								r4	r4				55							29						
30																									s56																						
31		r25	r25			r25																							r25	r25																	
32		r23	r23			r23																							r23	r23																	
33						r22																							r22	r22																	
34		r24	r24			r24																							r24	r24																	
35	s57																																														
36	s58																																														
37	s59																																														
38		r19	r19			r19	r19	r19	r19																				r19	r19																	
39						r21																							r21	r21																	
40						r20																							r20	r20																	
41		r18	r18			r18		r18																					r18	r18																	
42																									s38												60										
43		s61																																													
44	s62																																														
45	s63																																														
46	s42									s44			s45						s46	s47												64															
47	s65																																														
48		r17	r17																																												
49		r16	r16																																												
50		s66																																													
51		r18	r18			r18	r19	r18	r19																				r18	r18																	
52								s67																																							
53		s68																																													
54		s69																																													
55																													r5	r5																	
56																												s70																			
57											s34	s35						s36					s37		s38											31	32								71		
58											s34	s35						s36					s37		s38											31	32								72		
59											s34	s35						s36					s37		s38											31	32								73		
60							s74		s75																																						
61																								s76																							
62	s42									s44			s45						s46	s47												77															
63																									s51												48					49	78				
64		r34	r34																																												
65	s42									s44			s45						s46	s47												79															
66						r14																							r14	r14																	
67				s80																																											
68																												s81																			
69						r39																							r39	r39																	
70														s12	s13	s14						s15			s16	s17	s18				1		2		3		4	5	82			8		9		10	11
71			s83																																												
72			s84																																												
73			s85																																												
74																									s38												86										
75																									s38												87										
76																												s88																			
77			s89																																												
78			s90																																												
79			s91																																												
80						s92																																									
81														s12	s13	s14						s15			s16	s17	s18				1		93		3		4	5				8		9		10	11
82																													s94																		
83											s34	s35						s36					s37		s38											31	32								95		
84											s34	s35						s36					s37		s38											31	32								96		
85											s34	s35						s36					s37		s38											31	32								97		
86		s98																																													
87		s99																																													
88														s12	s13	s14						s15			s16	s17	s18				1		100		3		4	5				8		9		10	11
89	s42									s44			s45						s46	s47												101															
90																									s51												48					49	102				
91	s42									s44			s45						s46	s47												103															
92																									s38												104										
93						s105																							s106																		
94																					r6								r6	r6																	
95		s107																																													
96		s108																																													
97		s109																																													
98		r32	r32																																												
99		r33	r33																																												
100						s105																							s110																		
101		s111																																													
102		s112																																													
103		s113																																													
104							s114																																								
105														s12	s13	s14						s15			s16	s17	s18				1				28		4	5				8		9		10	11
106						r37																							r37	r37																	
107		r26	r26			r26																							r26	r26																	
108		r28	r28			r28																							r28	r28																	
109		r27	r27			r27																							r27	r27																	
110						r29											s115												r29	r29																	
111		r35	r35																																												
112		r31	r31																																												
113		r36	r36																																												
114																									s38												116										
115																												s117																			
116						s118																																									
117														s12	s13	s14						s15			s16	s17	s18				1		119		3		4	5				8		9		10	11
118																									s38												120										
119						s105																							s121																		
120								s122																																							
121						r30																							r30	r30																	
122										s123																																					
123	s124																																														
124																									s38												125										
125			s126																																												
126					s127																																										
127		s128																																													
128		s129																																													
129																												s130																			
130														s12	s13	s14						s15			s16	s17	s18				1		131		3		4	5				8		9		10	11
131						s105																							s132																		
132						r38																							r38	r38																	
